initial_resistant_fraction,emdr,starting_volume_mm3,window_percent,relapse_day,horizon_days
0.0,True,3900.0,16,137,2000
0.0,True,3900.0,17,138,2000
0.0,True,3900.0,18,138,2000
0.0,True,3900.0,19,138,2000
0.0,True,3900.0,20,19,2000
0.0,True,4100.0,1,indefinite_within_horizon,2000
0.0,True,4100.0,2,indefinite_within_horizon,2000
0.0,True,4100.0,3,indefinite_within_horizon,2000
0.0,True,4100.0,4,indefinite_within_horizon,2000
0.0,True,4100.0,5,indefinite_within_horizon,2000
0.0,True,4100.0,6,indefinite_within_horizon,2000
0.0,True,4100.0,7,indefinite_within_horizon,2000
0.0,True,4100.0,8,indefinite_within_horizon,2000
0.0,True,4100.0,9,indefinite_within_horizon,2000
0.0,True,4100.0,10,indefinite_within_horizon,2000
0.0,True,4100.0,11,indefinite_within_horizon,2000
0.0,True,4100.0,12,288,2000
0.0,True,4100.0,13,245,2000
0.0,True,4100.0,14,233,2000
0.0,True,4100.0,15,235,2000
0.0,True,4100.0,16,239,2000
0.0,True,4100.0,17,241,2000
0.0,True,4100.0,18,246,2000
0.0,True,4100.0,19,232,2000
0.0,True,4100.0,20,30,2000
0.01,False,1500.0,1,39,2000
0.01,False,1500.0,2,38,2000
0.01,False,1500.0,3,35,2000
0.01,False,1500.0,4,32,2000
0.01,False,1500.0,5,30,2000
0.01,False,1500.0,6,30,2000
0.01,False,1500.0,7,30,2000
0.01,False,1500.0,8,30,2000
0.01,False,1500.0,9,32,2000
0.01,False,1500.0,10,32,2000
0.01,False,1500.0,11,31,2000
0.01,False,1500.0,12,31,2000
0.01,False,1500.0,13,31,2000
0.01,False,1500.0,14,31,2000
0.01,False,1500.0,15,31,2000
0.01,False,1500.0,16,31,2000
0.01,False,1500.0,17,31,2000
0.01,False,1500.0,18,31,2000
0.01,False,1500.0,19,31,2000
0.01,False,1500.0,20,7,2000
0.01,False,1700.0,1,40,2000
0.01,False,1700.0,2,37,2000
0.01,False,1700.0,3,34,2000
0.01,False,1700.0,4,33,2000
